SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Terrain,Toebox,Waterproofing,Weight (oz),Widths Available
Saucony Guide 16,Stability,,Saucony,Balanced,Semi-Flexible,27.0,35.0,8.0,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.5,"{Standard, Wide}"
La Sportiva Mutant,Neutral,High,La Sportiva,Firm,Semi-Rigid,16.0,26.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,Medium,,10.7,{Standard}
Brooks Ricochet,Neutral,High,Brooks,,,,,8.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,10.3,{Standard}
Adidas Solarglide 5,Neutral,High,Adidas,Firm,Semi-Rigid,,,10.5,130.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,11.8,{}
Nike ZoomX Invincible Run Flyknit 3,Neutral,High,Nike,Plush,Balanced,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.0,{}
Under Armour HOVR Sonic 5,Neutral,High,Under Armour,Balanced,Balanced,,,6.5,110.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Wide,,9.9,{}
Adidas Adizero Boston 10,Neutral,High,Adidas,Balanced,Balanced,,,7.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.4,{}
Adidas Ultraboost Light,Neutral,,Adidas,Balanced,Semi-Flexible,,,10.0,190.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.5,{}
APL TechLoom Wave,Neutral,High,APL,Balanced,Semi-Flexible,,,8.0,245.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,,,,{}
Adidas Adizero SL,Neutral,High,Adidas,Firm,Balanced,,,10.0,120.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.6,{}
Nike Renew Ride 3,Neutral,High,Nike,Balanced,Semi-Flexible,,,,80.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Medium,,10.0,{}
Brooks Cascadia 15,Neutral,High,Brooks,Firm,Semi-Rigid,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Wide,,11.0,{}
Merrell Trail Glove 6,Neutral,High,Merrell,Firm,Flexible,,,0.0,100.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Medium,,7.5,{}
Saucony Endorphin Edge,Neutral,High,Saucony,Plush,Semi-Rigid,,,6.0,200.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Medium,,9.1,{}
New Balance Fresh Foam 880 v11,Neutral,High,New Balance,Plush,Balanced,,,10.5,130.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,9.7,{}
Saucony Echelon 8,Neutral,High,Saucony,Plush,,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Wide,,13.3,{}
Hoka Carbon X,Neutral,High,Hoka,Firm,Balanced,,,5.0,180.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,8.7,{}
Salomon XT-Wings 2,Neutral,High,Salomon,Balanced,Balanced,,,10.5,160.00,"{Supination, Underpronation, Neutral}",2020,{},Trail,Wide,,11.8,{}
Nike Free RN Flyknit 2018,Neutral,High,Nike,Firm,Flexible,,,8.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,6.5,{}
Adidas Terrex Soulstride,Neutral,High,Adidas,Balanced,Balanced,,,,80.00,"{Supination, Underpronation, Neutral}",2022,{},Trail,Wide,,,{}
Brooks Ghost 11,Neutral,High,Brooks,Plush,Semi-Flexible,,,12.0,120.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,10.9,{}
Brooks Caldera 5,Neutral,High,Brooks,Balanced,Semi-Flexible,,,4.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Wide,,10.8,{}
Adidas Adizero Adios 6,Neutral,High,Adidas,Balanced,Semi-Flexible,,,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.6,{}
Altra Vanish Tempo,Neutral,High,Altra,Plush,,,,0.0,190.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,8.7,{}
Under Armour Charged Pursuit 3,Neutral,High,Under Armour,Balanced,Balanced,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,,{}
New Balance Nitrel V4,Neutral,High,New Balance,Plush,,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.3,{}
ASICS Dynablast,Neutral,High,ASICS,Balanced,Semi-Flexible,,,12.0,110.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Wide,,8.8,{}
Altra Timp 4,Neutral,High,Altra,Plush,Semi-Flexible,,,0.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Wide,,10.6,{}
Saucony Endorphin Trail,Neutral,High,Saucony,Balanced,Semi-Rigid,,,4.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,,10.4,{}
ASICS Novablast 3 TR,Neutral,High,ASICS,Plush,Balanced,,,8.0,145.00,"{Supination, Underpronation, Neutral}",2022,{},Trail,Wide,,8.9,{}
Hoka Rocket X 2,Neutral,,Hoka,Balanced,Balanced,,,5.0,250.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,7.9,{}
Adidas Ultraboost Uncaged,Neutral,High,Adidas,,,,,10.0,180.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.7,{}
Under Armour Flow Velociti Wind,Neutral,High,Under Armour,Plush,Balanced,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.1,{}
Hoka Mach Supersonic,Neutral,High,Hoka,Balanced,Balanced,,,5.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Wide,,8.4,{}
ASICS Dynablast 2,Neutral,High,ASICS,,,,,8.0,100.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,,,8.9,{}
ASICS Gel Pulse 13,Neutral,High,ASICS,Plush,Balanced,,,10.5,90.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,10.6,{}
ASICS Gel Nimbus 21,Neutral,High,ASICS,Plush,Semi-Flexible,,,10.0,150.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.9,{}
Nike ZoomX Vaporfly Next%,Neutral,High,Nike,Balanced,Semi-Rigid,,,8.0,250.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,6.6,{}
New Balance Fresh Foam Hierro v7,Neutral,High,New Balance,Balanced,Balanced,,,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.6,{}
New Balance FuelCell Prism,Stability,Low,New Balance,Balanced,Balanced,,,6.0,120.00,{Overpronation},2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.4,{}
New Balance Fresh Foam X More v4,Neutral,High,New Balance,Plush,,,,4.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Wide,,11.5,{}
Merrell Nova,Neutral,High,Merrell,,,,,8.0,110.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Trail,,,10.9,{}
Nike Flex Experience Run 10,Neutral,High,Nike,Firm,Flexible,,,,65.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Narrow,,8.0,{}
Adidas Ultraboost All Terrain,Neutral,High,Adidas,,,,,10.0,220.00,"{Supination, Underpronation, Neutral}",,{Heel},Trail,,Water Repellent,12.0,{}
Saucony Cohesion 13,Neutral,High,Saucony,Balanced,Semi-Flexible,,,10.5,60.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.9,{}
Nike Air Zoom Alphafly Next% 2,Neutral,High,Nike,Balanced,Rigid,,,8.0,275.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.8,{}
ASICS Gel Kayano 25,Stability,Low,ASICS,Plush,Semi-Flexible,,,10.0,160.00,{Overpronation},,{Heel},Road,Medium,,11.9,{}
Xero Shoes Prio,Neutral,High,Xero Shoes,,,,,0.0,90.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Trail,,,7.4,{}
Adidas SL20.3,Neutral,High,Adidas,Balanced,Balanced,,,8.0,110.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.7,{}
Brooks Ricochet 3,Neutral,High,Brooks,Balanced,Semi-Flexible,,,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.4,{}
Reebok Floatride Energy X,Neutral,High,Reebok,Balanced,Semi-Rigid,,,6.0,170.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.2,{}
Altra Timp 3,Neutral,High,Altra,Balanced,Balanced,,,0.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Wide,,10.5,{}
ASICS Gel Excite 7,Neutral,High,ASICS,Plush,Semi-Flexible,,,8.0,75.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Medium,,10.0,{}
Merrell Agility Peak 4,Neutral,High,Merrell,Balanced,Semi-Flexible,,,6.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.8,{}
New Balance 510 v5,Neutral,High,New Balance,Balanced,,,,,75.00,"{Supination, Underpronation, Neutral}",2022,{},Trail,Wide,,,{}
Nike Air Zoom Structure 24,Neutral,High,Nike,Balanced,Semi-Flexible,,,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Narrow,,11.0,{}
Scarpa Ribelle Run,Neutral,High,Scarpa,Balanced,,,,4.0,159.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Wide,,10.6,{}
Nike Zoom Pegasus Turbo,Neutral,High,Nike,Plush,Semi-Flexible,,,10.0,180.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,10.0,{}
Mizuno Wave Inspire 19,Stability,Low,Mizuno,Balanced,Balanced,,,12.0,140.00,{Overpronation},2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.7,{}
PUMA Liberate Nitro,Neutral,High,PUMA,Plush,Semi-Flexible,,,10.0,110.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,6.3,{}
Saucony Omni 21,Stability,,Saucony,Plush,Balanced,,,8.0,140.00,{},2023,{},Road,Narrow,,11.2,{}
Brooks Bedlam,Stability,Low,Brooks,,,,,8.0,150.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Road,,,11.2,{}
Nike Odyssey React,Neutral,High,Nike,Plush,Semi-Flexible,,,10.0,120.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,8.6,{}
On Cloudultra,Neutral,High,On,Firm,Semi-Rigid,,,8.0,180.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.7,{}
APL Techloom Zipline,Neutral,High,APL,Balanced,Balanced,,,8.0,320.00,"{Supination, Underpronation, Neutral}",2023,{},Road,Medium,,7.7,{}
Mizuno Wave Horizon 5,Stability,Low,Mizuno,Balanced,Semi-Flexible,,,10.0,160.00,{Overpronation},2021,{Heel},Road,Medium,,11.6,{Standard}
Nike Air Zoom Pegasus 38 Shield,Neutral,High,Nike,Firm,,,,,130.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,Water Repellent,,{Standard}
New Balance Fresh Foam Hierro v6,Neutral,High,New Balance,Balanced,,20.0,28.0,8.0,135.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Wide,,11.9,"{Standard, Wide}"
Brooks Transmit 3,Neutral,High,Brooks,Plush,,,,12.0,100.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Narrow,,,{Standard}
ASICS MetaRacer,Neutral,High,ASICS,Balanced,Semi-Rigid,15.0,24.0,9.0,200.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,6.7,{Standard}
Mizuno Wave Creation 20,Neutral,High,Mizuno,Plush,Semi-Flexible,,,12.0,170.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,,14.0,{Standard}
Saucony Omni 19,Motion control,Low,Saucony,Balanced,,26.0,34.0,8.0,130.00,{Severe Overpronation},2020,"{Forefoot, Midfoot, Heel}",Road,Narrow,,11.4,"{Standard, Wide}"
ASICS GlideRide 2,Neutral,High,ASICS,Firm,Semi-Rigid,21.0,26.0,5.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,,,11.5,"{Standard, Wide}"
ASICS Gel Excite Trail,Neutral,High,ASICS,Balanced,Balanced,,,8.0,75.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.6,{Standard}
Hoka Zinal,Neutral,High,Hoka,Balanced,Semi-Flexible,18.0,22.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Medium,,8.5,{Standard}
Mizuno Wave Inspire 17,Stability,Low,Mizuno,Balanced,,19.0,31.0,12.0,135.00,{Overpronation},2021,{Heel},Road,Medium,,10.9,"{Standard, Wide}"
Adidas Futurecraft 4D,Neutral,High,Adidas,Firm,Balanced,,,,300.00,"{Supination, Underpronation, Neutral}",2020,{},Road,Narrow,,12.4,{Standard}
Brooks Launch GTS 8,Stability,Low,Brooks,Balanced,Semi-Flexible,,,10.5,100.00,{Overpronation},2021,{Heel},Road,Wide,,8.8,{}
Nike Downshifter 11,Neutral,High,Nike,Firm,Semi-Flexible,,,10.0,60.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,,10.2,"{Standard, Extra Wide}"
ASICS MetaRide,Neutral,High,ASICS,Plush,Semi-Flexible,30.0,30.0,0.0,250.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,,{Standard}
ASICS EvoRide,Neutral,High,ASICS,Plush,Semi-Flexible,23.0,28.0,5.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,9.1,"{Narrow, Standard}"
Skechers GOrun MaxRoad 5,Neutral,High,Skechers,Balanced,Semi-Flexible,31.0,37.0,6.0,135.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.3,{Standard}
Inov-8 Trailfly G 270,Neutral,High,Inov-8,Balanced,Balanced,12.0,12.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Trail,Wide,,9.5,{Standard}
Topo Athletic Ultrafly 3,Stability,Low,Topo Athletic,Plush,,23.0,28.0,5.0,130.00,{Overpronation},2020,"{Forefoot, Midfoot}",Road,Wide,,9.6,{Standard}
Under Armour HOVR Phantom,Neutral,High,Under Armour,Plush,Semi-Flexible,,,10.0,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Narrow,,10.6,{Standard}
Saucony Xodus Ultra 2,Neutral,,Saucony,Balanced,Semi-Rigid,26.5,32.5,6.0,150.00,{},2023,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,9.2,{Standard}
Saucony Kinvara 11,Neutral,High,Saucony,Firm,Semi-Flexible,25.0,29.0,4.0,110.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,8.2,"{Standard, Wide}"
PUMA Viz Runner,Neutral,High,PUMA,Balanced,Balanced,,,4.0,65.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Road,Medium,,8.8,"{Standard, Wide}"
Brooks Levitate 2,Neutral,High,Brooks,,,18.0,26.0,8.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,11.2,{Standard}
Saucony Cohesion 14,Neutral,High,Saucony,Balanced,Semi-Flexible,,,12.0,65.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,9.2,"{Standard, Wide}"
ASICS Trail Scout 2,Neutral,High,ASICS,Balanced,Semi-Rigid,,,10.0,60.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Trail,Medium,,11.6,"{Standard, Extra Wide}"
On Cloudflash,Neutral,High,On,Balanced,Balanced,15.0,20.0,5.0,180.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,Medium,,7.8,{Standard}
Inov-8 TrailFly Ultra G 300 Max,Neutral,High,Inov-8,Plush,Semi-Flexible,24.0,30.0,6.0,190.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Wide,,11.9,"{Standard, Wide}"
Nike ZoomX Invincible Run,Neutral,High,Nike,Plush,Semi-Flexible,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,11.1,{}
Nike React Miler 3,Neutral,High,Nike,Firm,Balanced,,,10.0,120.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,11.3,{Standard}
Saucony Triumph 17,Neutral,High,Saucony,Plush,Semi-Flexible,25.5,35.5,8.0,150.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.8,{Standard}
ASICS EvoRide 2,Neutral,High,ASICS,Firm,Semi-Rigid,,,6.5,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,8.2,{}
Altra Mont Blanc,Neutral,High,Altra,Firm,Balanced,,30.0,0.0,180.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Extra Wide,,9.9,{Standard}
On Cloud Waterproof,Neutral,High,On,Firm,Semi-Flexible,18.0,24.0,6.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Narrow,Waterproof,8.8,{Standard}
Adidas Adistar CS,Stability,Low,Adidas,Firm,Semi-Rigid,,,6.5,160.00,{Overpronation},,{Heel},Road,Wide,,11.3,{}
ASICS Hyper Speed,Neutral,High,ASICS,Firm,Semi-Flexible,,,5.0,90.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,7.4,{Standard}
Saucony Freedom ISO,Neutral,High,Saucony,,,15.0,19.0,4.0,160.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,,,9.0,{Standard}
Mizuno Wave Sky 6,Neutral,High,Mizuno,Balanced,Balanced,,,8.0,170.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.7,"{Standard, Wide}"
Brooks Dyad 11,Neutral,High,Brooks,Plush,Semi-Flexible,24.0,34.0,10.0,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,11.6,"{Standard, Wide, Extra Wide}"
Brooks Revel 3,Neutral,High,Brooks,Balanced,Semi-Flexible,,,8.0,100.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.8,{Standard}
Mizuno Wave Inspire 16,Stability,Low,Mizuno,,Semi-Flexible,20.0,32.0,12.0,135.00,{Overpronation},2020,{Heel},Road,Narrow,,10.1,"{Standard, Wide}"
Adidas Pulseboost HD,Neutral,High,Adidas,Plush,Semi-Flexible,10.0,18.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,12.0,{Standard}
Under Armour Charged Vantage 2,Neutral,High,Under Armour,Balanced,Balanced,,,8.0,80.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,,,8.3,"{Standard, Wide}"
Adidas Pureboost Go,Neutral,High,Adidas,Plush,Balanced,13.0,21.0,8.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.1,{Standard}
Adidas SL20.2,Neutral,High,Adidas,Balanced,,12.0,21.5,9.5,110.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Narrow,,8.7,"{Narrow, Standard}"
Adidas Response Super 2.0,Neutral,High,Adidas,Plush,,,,10.0,90.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,,,,"{Narrow, Standard}"
ASICS Gel Kayano Lite 2,Stability,Low,ASICS,Plush,Semi-Flexible,25.0,35.0,10.0,160.00,{Overpronation},2021,{Heel},Road,Medium,,10.1,{Standard}
Merrell Trail Glove 5,Neutral,High,Merrell,Balanced,Flexible,12.0,12.0,0.0,100.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Trail,Wide,,6.9,{Standard}
Hoka Arahi,Stability,Low,Hoka,Firm,Balanced,24.0,29.0,5.0,130.00,{Overpronation},,"{Forefoot, Midfoot}",Road,Medium,,9.3,{Standard}
New Balance FuelCell SuperComp Pacer,Neutral,High,New Balance,Firm,Semi-Rigid,20.0,28.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.1,"{Standard, Wide}"
Brooks Range 2,Neutral,High,Brooks,Balanced,Semi-Flexible,,,10.0,75.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,9.3,{Standard}
Nike Air Max 2015,Neutral,High,Nike,Balanced,Semi-Flexible,,,,190.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,13.2,{Standard}
Salomon Ultra Glide 2,Neutral,,Salomon,Plush,Semi-Flexible,26.0,32.0,6.0,150.00,{},2023,"{Forefoot, Midfoot, Heel}",Trail,Wide,,9.2,"{Standard, Wide}"
Adidas Solar Glide ST,Stability,Low,Adidas,,,22.0,32.0,10.0,150.00,{Overpronation},,{Heel},Road,,,11.2,{Standard}
New Balance Fresh Foam Cruz,Neutral,High,New Balance,,,,,8.0,80.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,,,9.2,{Standard}
Adidas Lite Racer BYD 2.0,Neutral,High,Adidas,Plush,Semi-Flexible,,,,70.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Wide,,,{Standard}
ASICS Gel DS Trainer 26,Stability,Low,ASICS,Firm,Semi-Flexible,,,6.5,130.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,,,7.5,{}
Altra Provision 5,Stability,Low,Altra,Balanced,Balanced,27.0,27.0,0.0,160.00,{Overpronation},2022,"{Forefoot, Midfoot}",Road,Wide,,,{Standard}
PUMA Fast-R Nitro Elite,Neutral,High,PUMA,Balanced,Balanced,30.0,38.0,8.0,250.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.0,{Standard}
ASICS Patriot 12,Neutral,High,ASICS,Balanced,,,,10.0,60.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Narrow,,8.9,{Standard}
Saucony Freedom 3,Neutral,High,Saucony,Balanced,Semi-Flexible,24.0,28.0,4.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Medium,,8.4,{Standard}
Adidas Solar Boost,Neutral,High,Adidas,Plush,Balanced,17.0,27.0,10.0,160.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,9.6,{Standard}
New Balance Fresh Foam Vongo v5,Stability,Low,New Balance,Plush,Balanced,26.0,34.0,8.0,150.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.9,"{Standard, Wide, Extra Wide}"
La Sportiva Jackal,Neutral,High,La Sportiva,Plush,Balanced,19.0,25.0,7.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.6,{Standard}
Adidas Ultraboost Parley,Neutral,High,Adidas,,,20.0,30.0,10.0,200.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,,,10.7,{Standard}
ASICS Gel Pulse 12,Neutral,High,ASICS,Plush,Semi-Flexible,,,12.0,90.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,11.0,"{Standard, Extra Wide}"
ASICS Metaspeed Edge+,Neutral,High,ASICS,Balanced,Balanced,31.0,39.0,8.0,250.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,7.4,"{Standard, Wide}"
Brooks Aurora-BL,Neutral,High,Brooks,Plush,Semi-Flexible,31.0,37.0,6.0,200.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.5,{Standard}
Hoka Mach,Neutral,High,Hoka,Balanced,Balanced,19.0,24.0,5.0,140.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,Medium,,8.2,{Standard}
Under Armour Charged Pursuit 2,Neutral,High,Under Armour,Plush,Semi-Flexible,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.8,"{Standard, Extra Wide}"
Hoka Gaviota 3,Motion control,Low,Hoka,Balanced,Rigid,35.0,40.0,5.0,160.00,{Severe Overpronation},2021,"{Forefoot, Midfoot}",Road,Medium,,11.3,"{Standard, Wide}"
ASICS Gel Nimbus Lite 2,Neutral,High,ASICS,Balanced,Semi-Flexible,15.0,25.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.5,{Standard}
ASICS Jolt 3,Neutral,High,ASICS,Balanced,Semi-Flexible,,,10.0,55.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,9.7,"{Standard, Extra Wide}"
Salomon Predict 2,Neutral,High,Salomon,Plush,Semi-Rigid,22.0,30.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.7,{Standard}
Under Armour HOVR Infinite,Neutral,High,Under Armour,Plush,Balanced,21.0,29.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.8,{Standard}
Under Armour Charged Assert 8,Neutral,High,Under Armour,Plush,Semi-Flexible,,,10.0,70.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,9.9,"{Standard, Wide, Extra Wide}"
Nike Wildhorse 8,Neutral,,Nike,Plush,Balanced,,,6.5,130.00,{},2023,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.5,{}
ASICS Gel Quantum 360 6,Neutral,High,ASICS,Balanced,Balanced,12.0,22.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Road,Wide,,11.9,"{Narrow, Standard}"
ASICS Gel Sonoma 6,Neutral,High,ASICS,Balanced,Semi-Flexible,,,6.5,80.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.4,{}
